,products,company,price,weight,star_rating,total_comments,flavours,price_per_100g,per_kg_sell,adult,chicken,wet,from_oceon,fish,tuna,salmon,mackerel,shrimps,milk,can,gravy,pouch,liver,grilled,turkey,ham,vegan
0,"Purepet Mackerel Adult Dry Cat Food, 1.2 kg",purepet,189.0,1.2,4.2,8285.0,"['Dry', 'Adult', 'Mackerel']",15.75,1304887.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Purepet Adult(+1 Year) Dry Cat Food, Ocean Fish - 7kg",purepet,879.0,7.0,4.3,11737.0,"['Dry', 'Adult', 'Fish', 'Ocean']",12.557142857142857,1473831.86,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Whiskas Dry Food for Adult Cats (+1 Years), Ocean Fish Flavour, 7kg Pack",whiskas,1900.0,7.0,4.5,8056.0,"['Dry', 'Adult', 'Fish', 'Ocean']",27.142857142857142,2186628.57,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Purepet Mackerel Adult Dry Cat Food, 1.2 kg",purepet,189.0,1.2,4.2,8285.0,"['Dry', 'Adult', 'Mackerel']",15.75,1304887.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"Drools Adult(+1 year) Dry Cat Food, Ocean Fish, 3 kg + 1.2 kg Free",drools,719.0,4.2,4.1,4557.0,"['Dry', 'Adult', 'Fish', 'Ocean']",17.11904761904762,780115.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Meat Up Adult Dry Cat Food, Ocean Fish - 1.2kg (Buy 1 Get 1 Free)",meat,429.0,2.4,4.0,4522.0,"['Dry', 'Adult', 'Fish', 'Ocean', 'Meat']",17.875,808307.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Let's Bite Active Persian Adult Dry Cat Food, 500g (Buy 1 Get 1 Free)",let's,121.0,1.0,4.1,3166.0,"['Dry', 'Adult', 'Persian']",12.1,383086.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Whiskas Dry Food for Kittens (2-12 Months), Ocean Fish Flavour, 1.1kg Pack",whiskas,369.0,1.1,4.5,12982.0,"['Dry', 'Fish', 'Ocean', 'Kitten']",33.54545454545455,4354870.91,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Whiskas Dry Food for Adult Cats (+1 Years), Tuna Flavour, 3kg Pack",whiskas,808.0,3.0,4.5,6133.0,"['Dry', 'Adult', 'Tuna']",26.933333333333334,1651821.33,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Whiskas Dry Food for Adult Cats (+1 Years), Ocean Fish Flavour, 1.2kg Pack",whiskas,387.0,1.2,4.5,8056.0,"['Dry', 'Adult', 'Fish', 'Ocean']",32.25,2598060.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Whiskas Dry Food for Adult Cats (+1 Years), Chicken Flavour, 1.2kg Pack",whiskas,387.0,1.2,4.5,3589.0,"['Dry', 'Adult', 'Chicken']",32.25,1157452.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Let's Bite Active Kitten Dry Cat Food, Ocean Fish - 400g (Buy 1 Get 1 Free)",let's,199.0,0.8,4.1,3166.0,"['Dry', 'Fish', 'Ocean', 'Kitten']",24.875,787542.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Whiskas Wet Food for Adult Cats, Chicken in Gravy Flavour, 12 Pouches (12 x 85g)",whiskas,432.0,1.02,4.5,3674.0,"['Adult', 'Chicken', 'Wet', 'Gravy']",42.352941176470594,1556047.06,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13,"Drools Adult(+1 year) Dry Cat Food, Ocean Fish, 3 kg + 1.2 kg Free",drools,719.0,4.2,4.1,4557.0,"['Dry', 'Adult', 'Fish', 'Ocean']",17.11904761904762,780115.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Meat Up Kitten(1-12 months) Dry Cat Food, Ocean Fish, 1.2kg (Buy 1 Get 1 Free)",meat,450.0,2.4,4.1,4847.0,"['Dry', 'Fish', 'Ocean', 'Kitten', 'Meat']",18.75,908812.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"Whiskas Dry Food for Adult Cats (1+ Years), for Healthy Skin &amp; Coat, Chicken &amp; Salmon Flavour, 450g",whiskas,198.0,0.45,4.3,42.0,"['Dry', 'Adult', 'Chicken', 'Salmon']",44.0,18480.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"Drools Kitten(1-12 months) Dry Cat Food, Ocean Fish - 4kg (3kg + 1kg Free Food Inside)",drools,680.0,4.0,4.1,2288.0,"['Dry', 'Fish', 'Ocean', 'Kitten']",17.0,388960.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Meat Up Adult Dry Cat Food, Ocean Fish - 1.2kg (Buy 1 Get 1 Free)",meat,429.0,2.4,4.0,4522.0,"['Dry', 'Adult', 'Fish', 'Ocean', 'Meat']",17.875,808307.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Whiskas Wet Food for Kittens (2-12 Months), Chicken in Gravy Flavour, 12 pouches (12 x 85g)",whiskas,420.0,1.02,4.2,358.0,"['Chicken', 'Kitten', 'Wet', 'Gravy']",41.1764705882353,147411.76,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19,"Meat Up Adult (+1 Year) Dry Cat Food, Ocean Fish, 1.5 kg (Buy 1 Get 1 Free)",meat,499.0,3.0,4.1,1513.0,"['Dry', 'Adult', 'Fish', 'Ocean', 'Meat']",16.633333333333333,251662.33,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"Whiskas Dry Food for Adult Cats (+1 Years), Mackerel Flavour, 3kg Pack",whiskas,843.0,3.0,4.5,4200.0,"['Dry', 'Adult', 'Mackerel']",28.1,1180200.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Whiskas Tasty Mix Wet Food for Adult Cats (1+ year), Made With Real Fish, Chicken With Salmon Wakame Seaweed in Gravy, 24 Pouches (24 x 70g)",whiskas,918.0,1.68,4.4,778.0,"['Adult', 'Fish', 'Chicken', 'Wet', 'Gravy', 'Salmon', 'Sea']",54.64285714285714,425121.43,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
22,"Meat Up Kitten (1-12 Months) Dry Cat Food, Ocean Fish, 600g (Buy 1 Get 1 Free)",meat,249.0,1.2,4.2,1425.0,"['Dry', 'Fish', 'Ocean', 'Kitten', 'Meat']",20.75,295687.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Let's Bite Active Adult Dry Cat Food, 500g (Buy 1 Get 1 Free)",let's,199.0,1.0,4.1,1384.0,"['Dry', 'Adult']",19.9,275416.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Whiskas Wet Food for Adult Cats (1+Years), Tuna in Jelly Flavour, 12 Pouches (12 x 85g)",whiskas,480.0,1.02,4.4,941.0,"['Adult', 'Tuna', 'Wet', 'Jelly']",47.05882352941177,442823.53,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,"Sheba Fine Food for Adults Cats (+1 Years), Chicken with Tuna in Gravy Flavour, Pack of 24 (24x 70g)",sheba,1176.0,1.68,4.5,316.0,"['Adult', 'Tuna', 'Chicken', 'Gravy']",70.0,221200.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"Purepet Wet Cat Food For All Life Stages, Real Tuna and Chicken Liver in Gravy, 24 Pouches (24 x 70g)",purepet,528.0,1.68,3.5,749.0,"['Tuna', 'Chicken', 'Wet', 'Gravy']",31.428571428571427,235400.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
27,"Whiskas Tasty Mix Wet Food for Adult Cats (1+ year), Made With Real Fish, Tuna With Kanikama And Carrot in Gravy Flavour, 24 Pouches (24 x 70g)",whiskas,918.0,1.68,4.4,518.0,"['Adult', 'Fish', 'Tuna', 'Wet', 'Gravy']",54.64285714285714,283050.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
28,"Whiskas Dry Food for Kittens (2-12 Months), Mackerel Flavour, 1.1kg Pack",whiskas,397.0,1.1,4.6,2792.0,"['Dry', 'Kitten', 'Mackerel']",36.09090909090909,1007658.18,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"Whiskas Tasty Mix Wet Food for Adult Cats (1+ year), Made With Real Fish, Seafood Cocktail Wakame Seaweed in Gravy, 24 Pouches (24 x 70g)",whiskas,816.0,1.68,4.3,536.0,"['Adult', 'Fish', 'Wet', 'Gravy', 'Sea', 'Seafood']",48.57142857142857,260342.86,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
30,"Royal Canin Fit 32, 2 kg",royal,1375.0,2.0,4.5,8411.0,['Canin'],68.75,5782562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ME-O Dry Adult CAT Food Tuna Flavour 3 KG,me-o,870.0,3.0,4.2,44.0,"['Dry', 'Adult', 'Tuna']",29.0,12760.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"Whiskas Wet Food for Adult Cats (1+Years), Salmon in Gravy Flavour, 12 Pouches (12 x 85g)",whiskas,480.0,1.02,4.3,442.0,"['Adult', 'Wet', 'Gravy', 'Salmon']",47.05882352941177,208000.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
33,"Me-O Adult Dry CAT Food Tuna Flavour, 3 kg",me-o,870.0,3.0,4.3,477.0,"['Dry', 'Adult', 'Tuna']",29.0,138330.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"Whiskas Dry Food for Adult Cats (1+ Years), Grilled Saba Flavour, 1.2kg",whiskas,381.0,1.2,4.5,23.0,"['Dry', 'Adult']",31.75,7302.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,"Whiskas Dry Food for Adult Cats (1+ Years), Supports Hairball Control, Chicken &amp; Tuna Flavour, 1.1kg",whiskas,419.0,1.1,4.4,41.0,"['Dry', 'Adult', 'Tuna', 'Chicken']",38.09090909090909,15617.27,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"Whiskas Wet Food for Kittens (2-12 Months), Tuna in Jelly Flavour, 12 Pouches (12 x 85g)",whiskas,,1.02,4.6,5087.0,"['Tuna', 'Kitten', 'Wet', 'Jelly']",,,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,"Sheba Fine Food for Adults Cats (+1 Years), Tuna Pumpkin &amp; Carrot in Gravy Flavour, Pack of 24 (24x 70g)",sheba,1260.0,1.68,4.5,341.0,"['Adult', 'Tuna', 'Gravy']",75.0,255750.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
38,"Farmina N&amp;D Grain Free Chicken and Pomegranate Adult Cat Food, 1.5 kg",farmina,2100.0,1.5,4.7,591.0,"['Adult', 'Chicken', 'Grain']",140.0,827400.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,"Whiskas Wet Food for Kittens (2-12 Months), Chicken in Gravy Flavour, 12 Pouches (12 x 85g)",whiskas,,1.02,4.5,5092.0,"['Chicken', 'Kitten', 'Wet', 'Gravy']",,,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
40,Puirna Fancy Feast Tuna Flakes in Gravy Wet Cat Food Pack of 6 X 85g Cans (1 Can Free with 5 Cans),puirna,462.0,0.42500000000000004,4.5,13.0,"['Tuna', 'Wet', 'Gravy']",108.70588235294117,14131.76,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"Kittibles Cat Food Dry Adult, 1kg - Chicken, Tuna Fish, Ashwagandha, Rosemary Extract",kittibles,246.0,1.0,3.3,96.0,"['Dry', 'Adult', 'Fish', 'Tuna', 'Chicken']",24.6,23616.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"Maxi Persian Adult(+1 year) Dry Cat Food, Ocean Fish, 7kg (BUY 1 GET 1 FREE)",maxi,1699.0,14.0,4.0,1540.0,"['Dry', 'Adult', 'Fish', 'Ocean', 'Persian']",12.135714285714286,186890.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"Purina FRISKIES Seafood Sensations Adult Cat Food, Tuna Salmon Whitefish Cran &amp; Shrimp Flavours, 1.1kg",purina,441.0,1.1,4.1,242.0,"['Adult', 'Tuna', 'Salmon', 'Sea', 'Seafood', 'FRISKIES']",40.09090909090909,97020.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
